point,x,y,z
p1,208523.261,740098.241,8.679
p2,208556.517,740108.817,8.941
p3,208572.264,740115.738,8.721
p4,208596.292,740125.961,8.72
p5,208613.974,740132.888,8.856
p6,208601.01,740153.388,8.105
p7,208588.683,740170.256,8.082
p8,208575.606,740190.012,8.071
p9,208560.377,740213.602,8.061
p10,208545.784,740201.852,8.117
p11,208561.919,740178.256,8.108
p12,208572.419,740158.942,8.131
p13,208585.236,740142.518,8.025
p14,208560.912,740132.46,8.104
p15,208554.486,740147.114,8.055
p16,208541.796,740165.61,8.045
p17,208524.688,740191.386,8.145
p18,208547.617,740123.668,8.018
p19,208538.606,740137.862,8.041
p20,208525.602,740155.765,8.099
p21,208513.494,740176.475,8.18
p22,208498.695,740169.869,8.233
p23,208506.409,740149.259,8.083
p24,208513.391,740129.043,8.738
p25,208517.545,740112.305,8.927
