images,x,y,z
100_0017_0001.JPG,208528.3091,740071.8608,87.677261
100_0017_0002.JPG,208521.2199,740088.3604,87.632901
100_0017_0003.JPG,208515.2571,740102.6208,87.631489
100_0017_0004.JPG,208509.087,740117.3622,87.615207
100_0017_0005.JPG,208502.889,740132.0669,87.61012
100_0017_0006.JPG,208496.7519,740146.6722,87.600873
100_0017_0007.JPG,208490.5578,740161.3611,87.595435
100_0017_0008.JPG,208484.4374,740175.9023,87.578522
100_0017_0009.JPG,208478.2954,740190.5461,87.544208
100_0017_0010.JPG,208473.2691,740203.8734,87.544472
100_0017_0011.JPG,208489.2623,740210.2423,87.54204
100_0017_0012.JPG,208503.6786,740215.7323,87.600502
100_0017_0013.JPG,208505.7564,740215.8575,87.555117
100_0017_0014.JPG,208512.464,740200.516,87.616756
100_0017_0015.JPG,208518.6278,740185.7653,87.668483
100_0017_0016.JPG,208525.0005,740171.0742,87.642738
100_0017_0017.JPG,208531.2728,740156.2868,87.609055
100_0017_0018.JPG,208537.1827,740141.897,87.572754
100_0017_0019.JPG,208543.3556,740127.2638,87.609721
100_0017_0020.JPG,208549.6024,740112.4025,87.659457
100_0017_0021.JPG,208555.5426,740098.1047,87.55922
100_0017_0022.JPG,208561.4986,740085.7658,87.638473
100_0017_0023.JPG,208577.7652,740092.3424,87.55901
100_0017_0024.JPG,208592.3886,740097.8245,87.723103
100_0017_0025.JPG,208594.019,740099.1178,87.683759
100_0017_0026.JPG,208587.593,740115.6632,87.597187
100_0017_0027.JPG,208581.7643,740129.99,87.623773
100_0017_0028.JPG,208575.5649,740144.5758,87.691822
100_0017_0029.JPG,208569.3779,740159.2696,87.679529
100_0017_0030.JPG,208563.2018,740174.0566,87.700048
100_0017_0031.JPG,208557.0025,740188.7379,87.678234
100_0017_0032.JPG,208550.8202,740203.2713,87.665351
100_0017_0033.JPG,208544.7013,740217.8181,87.646716
100_0017_0034.JPG,208540.3102,740229.7905,87.669897
100_0017_0035.JPG,208556.2235,740236.2231,87.647995
100_0017_0036.JPG,208570.6944,740241.7591,87.68184
100_0017_0037.JPG,208572.859,740241.9011,87.615106
100_0017_0038.JPG,208579.7733,740226.131,87.683575
100_0017_0039.JPG,208586.0317,740211.4841,87.743063
100_0017_0040.JPG,208592.0822,740196.9905,87.677171
100_0017_0041.JPG,208598.1364,740182.6328,87.601046
100_0017_0042.JPG,208604.226,740167.8435,87.653331
100_0017_0043.JPG,208610.4109,740153.2415,87.650052
100_0017_0044.JPG,208616.6682,740138.6964,87.646581
100_0017_0045.JPG,208622.8271,740123.9405,87.604561
100_0017_0046.JPG,208627.0067,740113.3113,87.579354
